,index,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,strategy_signal,BAH_signal,SAH_signal,qty,balance,portfolio_value,BAH_portfolio_value,SAH_portfolio_value
0,0,2023-06-16 00:00:00+03:00,25556.7,25750.0,25500.0,25558.0,44979.122,2023-06-16 00:59:59.999000+03:00,1153044599.02375,376012,22110.854,566854312.28265,0.0,,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
1,1,2023-06-16 01:00:00+03:00,25558.0,25644.0,25533.6,25615.5,15341.3,2023-06-16 01:59:59.999000+03:00,392493223.8079,150043,7913.244,202464366.5599,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
2,2,2023-06-16 02:00:00+03:00,25615.6,25625.7,25545.0,25586.1,9346.881,2023-06-16 02:59:59.999000+03:00,239058851.7111,105691,4601.907,117696853.4333,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
3,3,2023-06-16 03:00:00+03:00,25586.0,25589.1,25420.1,25482.7,19221.176,2023-06-16 03:59:59.999000+03:00,490005108.4746,152253,8374.646,213472328.6959,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
4,4,2023-06-16 04:00:00+03:00,25482.7,25568.0,25438.5,25503.0,9407.538,2023-06-16 04:59:59.999000+03:00,239843186.5901,103138,5108.059,130246763.6018,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
5,5,2023-06-16 05:00:00+03:00,25503.1,25545.0,25470.3,25538.3,6871.944,2023-06-16 05:59:59.999000+03:00,175260176.5909,73664,3753.603,95737348.1971,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
6,6,2023-06-16 06:00:00+03:00,25538.3,25596.0,25515.7,25545.7,7549.247,2023-06-16 06:59:59.999000+03:00,192905843.8373,82215,3740.058,95570722.5313,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
7,7,2023-06-16 07:00:00+03:00,25545.7,25620.0,25508.8,25515.0,10712.64,2023-06-16 07:59:59.999000+03:00,273827128.2621,105041,4577.32,117009708.0851,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
8,8,2023-06-16 08:00:00+03:00,25515.0,25566.4,25461.0,25541.2,11719.507,2023-06-16 08:59:59.999000+03:00,298825708.3515,119742,5984.976,152628215.5208,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
9,9,2023-06-16 09:00:00+03:00,25541.2,25616.0,25523.3,25564.4,9657.34,2023-06-16 09:59:59.999000+03:00,246945630.433,111277,5032.977,128701301.7222,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
10,10,2023-06-16 10:00:00+03:00,25564.4,25611.3,25522.8,25526.1,8369.007,2023-06-16 10:59:59.999000+03:00,213907295.0829,87426,3863.164,98751192.6447,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
11,11,2023-06-16 11:00:00+03:00,25526.1,25610.0,25526.0,25534.0,9103.746,2023-06-16 11:59:59.999000+03:00,232790539.4412,101005,4746.55,121373613.6533,0.0,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,StrategySignal.DO_NOTHING,0.0,100000.0,99820.0,99990.0,99990.0
